reading_id,station_id,captured_at,station_type,pm25_ug_m3,humidity_pct,temp_c
R0017,ST-01,2026-06-17,Roadside,-1.0,53.5,29.8
R0203,ST-07,2026-06-11, park ,17.39,74.3,25.1
R0208,ST-07,2026-06-16, park ,16.24,47.1,15.5
R0150,ST-05,2026-06-22,park,13.94,82.6,26.7
R0051,ST-02,2026-06-19,roadside,10.48,51.6,23.4
R0160,ST-05,2026-06-32, park ,14.38,45.8,16.3
R0091,ST-03,2026-06-27,Roadside,21.46,63.1,29.0
R0093,ST-03,2026-06-29, roadside ,15.62,87.7,30.0
R0055,ST-02,2026-06-23,Roadside,14.65,79.0,18.0
R0182,ST-06,2026-06-22,PARK,18.0,60.9,20.3
R0025,ST-01,2026-06-25, roadside ,14.74,43.4,23.0
R0066,ST-03,2026-06-02, roadside ,18.82,70.0,19.5
R0109,ST-04,2026-06-13,Roadside,9.31,86.6,29.3
R0164,ST-06,2026-06-04, park ,10.9,70.7,17.5
R0066,ST-03,2026-06-02, roadside ,18.82,70.0,19.5
R0151,ST-05,2026-06-23,PARK,10.74,72.8,27.6
R0145,ST-05,2026-06-17,PARK,16.48,83.8,24.7
R0040,ST-02,2026-06-08,roadside,15.77,40.8,24.6
R0069,ST-03,2026-06-05,roadside,16.75,82.0,17.4
R0043,ST-02,2026-06-11,ROADSIDE,17.37,71.7,23.2
R0251,ST-08,2026-06-27,park,8.64,68.1,29.3
R0149,ST-05,2026-06-21,Park,13.93,44.7,25.0
R0075,ST-03,2026-06-11,roadside,20.01,57.0,27.6
R0147,ST-05,2026-06-19,park,11.98,58.9,28.9
R0123,ST-04,2026-06-27,ROADSIDE,11.82,41.6,15.3
R0216,ST-07,2026-06-24,Park,14.61,63.8,20.0
R0167,ST-06,2026-06-07,PARK,8.47,43.2,16.8
R0053,ST-02,2026-06-21,ROADSIDE,21.67,71.3,20.4
R0049,ST-02,2026-06-17,Roadside,21.62,78.5,25.3
R0028,ST-01,2026-06-28,ROADSIDE,22.0,88.1,25.7
R0155,ST-05,2026-06-27,Park,16.08,73.1,22.8
R0127,ST-04,2026-06-31,roadside,15.63,61.8,17.0
R0009,ST-01,2026-06-09,roadside,21.5,53.1,29.3
R0122,ST-04,2026-06-26, roadside ,23.12,52.2,20.1
R0139,ST-05,2026-06-11, park ,9.81,88.6,17.5
R0198,ST-07,2026-06-06,Park,13.52,85.6,20.6
R0092,ST-03,2026-06-28,ROADSIDE,16.62,87.8,22.3
R0068,ST-03,2026-06-04,roadside,15.53,79.0,25.4
R0113,ST-04,2026-06-17,ROADSIDE,26.1,66.0,26.9
R0013,ST-01,2026-06-13,Roadside,14.52,86.9,27.3
R0225,ST-08,2026-06-01,Park,16.85,55.9,21.2
R0166,ST-06,2026-06-06, park ,14.61,41.0,19.0
R0114,ST-04,2026-06-18, roadside ,,75.1,21.5
R0062,ST-02,2026-06-30,ROADSIDE,14.2,48.6,27.0
R0230,ST-08,2026-06-06,Park,16.47,87.6,17.2
R0217,ST-07,2026-06-25,park,5.49,40.4,29.3
R0242,ST-08,2026-06-18,PARK,8.74,67.5,19.1
R0177,ST-06,2026-06-17,Park,18.2,76.7,30.0
R0005,ST-01,2026-06-05,ROADSIDE,9.92,44.6,17.2
R0098,ST-04,2026-06-02,roadside,20.28,89.8,20.0
R0008,ST-01,2026-06-08,Roadside,11.19,55.9,26.1
R0001,ST-01,2026-06-01,ROADSIDE,27.0,75.4,18.3
R0159,ST-05,2026-06-31,PARK,,61.3,23.8
R0235,ST-08,2026-06-11, park ,17.38,42.9,21.9
R0138,ST-05,2026-06-10,PARK,17.81,60.0,22.1
R0022,ST-01,2026-06-22, roadside ,9.17,57.7,29.3
R0243,ST-08,2026-06-19, park ,13.73,73.7,24.5
R0107,ST-04,2026-06-11, roadside ,27.61,43.6,17.9
R0085,ST-03,2026-06-21,roadside,20.35,81.7,15.0
R0116,ST-04,2026-06-20, roadside ,14.91,45.9,29.7
R0209,ST-07,2026-06-17,Park,7.25,50.4,24.7
R0086,ST-03,2026-06-22, roadside ,21.56,66.4,21.4
R0185,ST-06,2026-06-25,Park,11.26,57.1,26.9
R0010,ST-01,2026-06-10,ROADSIDE,13.84,83.5,25.2
R0011,ST-01,2026-06-11,Roadside,12.75,44.6,21.2
R0183,ST-06,2026-06-23,Park,15.16,53.5,16.0
R0037,ST-02,2026-06-05, roadside ,22.15,87.0,26.6
R0222,ST-07,2026-06-30,Park,-1.0,55.9,26.7
R0059,ST-02,2026-06-27, roadside ,12.88,81.2,24.7
R0192,ST-06,2026-06-32, park ,7.35,53.4,22.5
R0036,ST-02,2026-06-04,Roadside,27.25,46.7,15.7
R0046,ST-02,2026-06-14,Roadside,8.25,50.9,21.3
R0054,ST-02,2026-06-22, roadside ,13.85,78.8,29.0
R0196,ST-07,2026-06-04,PARK,9.86,41.2,28.5
R0061,ST-02,2026-06-29,roadside,20.94,64.8,22.5
R0188,ST-06,2026-06-28,Park,16.89,48.8,27.8
R0132,ST-05,2026-06-04,PARK,9.33,85.0,27.8
R0101,ST-04,2026-06-05,Roadside,29.03,59.0,19.4
R0045,ST-02,2026-06-13, roadside ,7.48,41.6,25.4
R0012,ST-01,2026-06-12,ROADSIDE,22.7,60.3,18.3
R0023,ST-01,2026-06-23,roadside,17.96,55.6,22.4
R0029,ST-01,2026-06-29,ROADSIDE,19.43,85.9,23.7
R0087,ST-03,2026-06-23,Roadside,22.49,44.1,23.8
R0174,ST-06,2026-06-14,Park,11.15,81.9,23.1
R0002,ST-01,2026-06-02,ROADSIDE,9.66,67.9,22.0
R0050,ST-02,2026-06-18,ROADSIDE,16.04,89.4,22.6
R0102,ST-04,2026-06-06,ROADSIDE,15.63,80.6,17.8
R0052,ST-02,2026-06-20,ROADSIDE,18.21,56.3,29.0
R0013,ST-01,2026-06-13,Roadside,14.52,86.9,27.3
R0255,ST-08,2026-06-31,Park,17.46,57.3,20.1
R0130,ST-05,2026-06-02,park,9.11,48.1,17.8
R0047,ST-02,2026-06-15, roadside ,20.73,87.1,19.8
R0193,ST-07,2026-06-01,Park,9.99,60.8,17.4
R0152,ST-05,2026-06-24, park ,14.64,43.3,29.6
R0229,ST-08,2026-06-05,Park,17.42,69.5,19.8
R0235,ST-08,2026-06-11, park ,17.38,42.9,21.9
R0175,ST-06,2026-06-15,Park,17.29,52.7,24.3
R0124,ST-04,2026-06-28,ROADSIDE,-1.0,81.4,26.8
R0097,ST-04,2026-06-01,roadside,24.29,82.8,21.0
R0197,ST-07,2026-06-05,Park,7.92,55.8,21.8
R0240,ST-08,2026-06-16,park,18.93,64.9,21.8
R0020,ST-01,2026-06-20,roadside,10.85,75.2,19.4
R0137,ST-05,2026-06-09,park,11.32,43.3,16.4
R0233,ST-08,2026-06-09,Park,12.16,42.7,20.2
R0228,ST-08,2026-06-04, park ,7.22,76.5,17.2
R0248,ST-08,2026-06-24,Park,15.01,68.4,20.2
R0058,ST-02,2026-06-26,roadside,14.76,71.9,24.7
R0015,ST-01,2026-06-15,roadside,21.88,76.9,26.7
R0128,ST-04,2026-06-32,Roadside,8.27,67.3,17.6
R0054,ST-02,2026-06-22, roadside ,13.85,78.8,29.0
R0180,ST-06,2026-06-20,Park,10.28,62.9,15.5
R0220,ST-07,2026-06-28, park ,6.19,70.1,15.1
R0110,ST-04,2026-06-14,roadside,13.29,70.7,18.9
R0211,ST-07,2026-06-19,PARK,3.1,73.4,17.6
R0071,ST-03,2026-06-07, roadside ,27.73,64.0,27.7
R0120,ST-04,2026-06-24,ROADSIDE,14.33,67.2,16.9
R0236,ST-08,2026-06-12, park ,10.3,69.5,18.8
R0204,ST-07,2026-06-12,Park,10.89,48.0,17.5
R0154,ST-05,2026-06-26,park,9.14,58.5,16.7
R0007,ST-01,2026-06-07,roadside,24.48,47.5,26.5
R0060,ST-02,2026-06-28,Roadside,19.56,82.3,18.4
R0190,ST-06,2026-06-30, park ,7.85,84.6,24.1
R0118,ST-04,2026-06-22, roadside ,18.75,63.2,21.2
R0129,ST-05,2026-06-01,PARK,20.92,60.8,21.7
R0153,ST-05,2026-06-25, park ,15.19,69.7,29.6
R0176,ST-06,2026-06-16,park,2.91,51.9,23.6
R0232,ST-08,2026-06-08,park,8.77,45.5,18.5
R0119,ST-04,2026-06-23,roadside,22.67,74.5,18.6
R0033,ST-02,2026-06-01, roadside ,17.94,43.5,28.2
R0239,ST-08,2026-06-15, park ,6.49,83.1,28.9
R0194,ST-07,2026-06-02,PARK,11.19,40.3,22.0
R0099,ST-04,2026-06-03,ROADSIDE,18.29,61.9,18.5
R0078,ST-03,2026-06-14,roadside,22.99,87.1,29.7
R0200,ST-07,2026-06-08, park ,9.8,47.8,25.4
R0244,ST-08,2026-06-20,Park,16.12,87.1,24.6
R0171,ST-06,2026-06-11, park ,8.82,76.5,22.6
R0245,ST-08,2026-06-21, park ,14.32,42.3,15.9
R0014,ST-01,2026-06-14,ROADSIDE,21.27,86.5,23.8
R0169,ST-06,2026-06-09,park,12.46,77.6,23.1
R0063,ST-02,2026-06-31,roadside,13.77,87.0,15.6
R0246,ST-08,2026-06-22, park ,6.23,56.5,17.4
R0224,ST-07,2026-06-32,PARK,6.24,65.4,24.3
